t,tau,R_eff,rho,alpha,beta_scaled,beta,beta_glass_gauss,beta_glass_exact,beta_inf_gauss,beta_inf_exact,entropy_density,free_energy,mean_energy_density,theory_entropy_density_liquid
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.2,1304.9623564941603,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.1157147675673496,-4.1481689385397534e-05,4.7191188411799986e-05,0.11401353689313123
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.3285714285714286,2143.866728526121,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.11112676694383279,-7.316593011180353e-06,4.451814347928747e-05,0.10594242554419145
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.4571428571428572,2982.771100558081,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.10504149085131871,6.920529031959296e-06,4.213660405416442e-05,0.09394482759306476
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.5857142857142859,3821.675472590042,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.09785709938425169,1.4413915967007948e-05,4.001972684396647e-05,0.07802074303975112
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.7142857142857144,4660.5798446220015,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.08993386149626688,1.885090565034502e-05,3.814761646628449e-05,0.0581701718842506
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.842857142857143,5499.484216653962,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.08163141167695427,2.1666618387277676e-05,3.651008523999665e-05,0.034393114126563165
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,0.9714285714285715,6338.3885886859225,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.073330155436931,2.353564460004949e-05,3.5104855671744575e-05,0.006689569766688797
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.1,7177.292960717882,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.06539636551031239,2.4816957296077275e-05,3.392852148444661e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.2285714285714286,8016.197332749843,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.05810981759854854,2.5718422106316504e-05,3.2967472396176916e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.3571428571428572,8855.101704781802,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.05162005503707785,2.6367280362366295e-05,3.219669449650354e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.4857142857142858,9694.006076813763,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.045957965896698615,2.6844253559616126e-05,3.1585117711395586e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.6142857142857143,10532.910448845723,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.041076609921637995,2.720183855522291e-05,3.1101673280024864e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.742857142857143,11371.814820877684,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.03689086747908217,2.7474869605127336e-05,3.0718931178426406e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,1.8714285714285717,12210.719192909644,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.033304237629725675,2.7686889422985158e-05,3.0414348559795404e-05,0.0
0.85,0.001,5.452943503192895e-07,0.0007384404852926805,0.11876410093034503,2.0,13049.623564941603,6524.8117824708015,11151.093637483058,4.818185179091139,8.23441899720711,0.030223580582297682,2.7854093499842642e-05,3.0170143494073483e-05,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.2,366.6352440833999,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.1157147675673496,-0.00014764549782184474,0.00016796727927665891,0.11401353689313123
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.3285714285714286,602.3293295655857,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.11112676694383276,-2.6041900257703295e-05,0.00015845312844026837,0.10594242554419145
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.4571428571428572,838.0234150477713,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.10504149085131868,2.463219240231455e-05,0.00014997653119424537,0.09394482759306476
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.5857142857142859,1073.717500529957,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.09785709938425169,5.1303354083266485e-05,0.00014244194438839996,0.07802074303975112
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.7142857142857144,1309.4115860121428,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.08993386149626686,6.7095901598395e-05,0.00013577855452203644,0.0581701718842506
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.842857142857143,1545.1056714943284,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.08163141167695424,7.711784899078051e-05,0.00012995010065030974,0.034393114126563165
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,0.9714285714285715,1780.799756976514,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.07333015543693107,8.377026140973838e-05,0.00012494847650643899,0.006689569766688797
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.1,2016.4938424586996,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.0653963655103124,8.833082906436886e-05,0.00012076155815133448,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.2285714285714286,2252.1879279408854,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.05810981759854868,9.15394066958165e-05,0.00011734090260014671,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.3571428571428572,2487.882013423071,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.051620055037077894,9.384888351919799e-05,0.00011459747800984026,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.4857142857142858,2723.5760989052565,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.0459579658966986,9.554657100972771e-05,0.00011242069687504553,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.6142857142857143,2959.270184387442,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.0410766099216381,9.681932087773501e-05,0.00011069997636446637,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.742857142857143,3194.964269869628,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.03689086747908214,9.779111845592504e-05,0.0001093376849784319,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,1.8714285714285717,3430.658355351814,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.0333042376297258,9.854575916654988e-05,0.00010825358611404275,0.0
0.85,0.003593813663804626,6.908098870971733e-06,0.002628326248959922,0.11876410093034503,2.0,3666.352440833999,1833.1762204169995,3132.951626711343,4.818185179091139,8.23441899720711,0.030223580582297606,9.914088751188086e-05,0.00010738438866732967,0.0
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.2,105.55323073899257,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.11571476756734958,-0.0005128411774110689,0.0005834281338853713,0.11401353689313123
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.3285714285714286,173.40887907120208,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.11112676694383276,-9.045557763161413e-05,0.0005503810827461043,0.10594242554419145
0.85,0.01291549665014884,8.334583557338167e-05,0.009129394041960379,0.11876410093034503,0.4571428571428572,241.2645274034116,527.7661536949628,901.9677493774726,4.818185179091139,8.23441899720711,0.10504149085131871,8.555900952064076e-05,0.0005209379356388669,0.09394482759306476
