beta_max,beta_mean,beta_min,loss,mcl_e_best,mcl_e_mean,ramp,step,teacher_entropy_usage,usage_0,usage_1,usage_2,usage_3
0.0,0.0,0.0,0.013698732480406761,0.013499625958502293,0.013698732480406761,0.0,1,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.01552507933229208,0.015511289238929749,0.01552507933229208,0.0,500,1.0,0.25,0.25,0.25,0.25
0.0,0.0,0.0,0.014268259517848492,0.014262625947594643,0.014268259517848492,0.0,1000,1.0,0.25,0.25,0.25,0.25
2.240000009536743,2.240000009536743,2.240000009536743,0.013558708131313324,0.01355533767491579,0.013558698818087578,0.028000000000000004,1500,1.0,0.25,0.25,0.2499999850988388,0.25
8.319999694824219,8.319999694824219,8.319999694824219,0.012839199975132942,0.012837241403758526,0.012839199975132942,0.10400000000000002,2000,0.9999999403953552,0.2499997913837433,0.2499997615814209,0.2500000298023224,0.2500004172325134
17.280000686645508,17.280000686645508,17.280000686645508,0.01469023060053587,0.014688734896481037,0.014690229669213295,0.216,2500,0.9999999403953552,0.2500004172325134,0.24999986588954926,0.24999988079071045,0.24999983608722687
28.15999984741211,28.15999984741211,28.15999984741211,0.013400128111243248,0.01339922659099102,0.013400128111243248,0.3520000000000001,3000,1.0,0.249999538064003,0.2500000596046448,0.24999985098838806,0.250000536441803
40.0,40.0,40.0,0.015215931460261345,0.015215137973427773,0.015215931460261345,0.5,3500,1.0,0.24999970197677612,0.25,0.2500002384185791,0.25000008940696716
51.84000015258789,51.84000015258789,51.84000015258789,0.015087388455867767,0.015086820349097252,0.015087389387190342,0.648,4000,1.0,0.25000032782554626,0.25000065565109253,0.24999961256980896,0.24999940395355225
62.71999740600586,62.71999740600586,62.71999740600586,0.013537103310227394,0.013536741957068443,0.013537103310227394,0.7839999999999999,4500,1.0,0.25000032782554626,0.24999965727329254,0.25000065565109253,0.24999935925006866
71.68000030517578,71.68000030517578,71.68000030517578,0.014188258908689022,0.014187997207045555,0.014188258908689022,0.8960000000000001,5000,1.0,0.25000038743019104,0.24999931454658508,0.25000065565109253,0.24999968707561493
77.76000213623047,77.76000213623047,77.76000213623047,0.013888541609048843,0.013888344168663025,0.013888541609048843,0.972,5500,1.0,0.2499997615814209,0.2500001788139343,0.2500000596046448,0.25
80.0,80.0,80.0,0.013694149442017078,0.01369401440024376,0.013694149442017078,1.0,6000,1.0,0.24999989569187164,0.24999958276748657,0.250000536441803,0.24999995529651642
80.0,80.0,80.0,0.01388813741505146,0.013888036832213402,0.01388813741505146,1.0,6500,1.0,0.2499999850988388,0.24999988079071045,0.25000011920928955,0.2500000596046448
